date,location,chlorophyll_a
01/01/19 00:00,North,0.209889755
01/02/19 00:00,North,0.292106539
01/03/19 00:00,North,0.533002973
01/04/19 00:00,North,0.280940086
01/05/19 00:00,North,0.386622518
01/06/19 00:00,North,0.411705554
01/07/19 00:00,North,0.478800476
01/08/19 00:00,North,0.514275134
01/09/19 00:00,North,0.558636785
01/10/19 00:00,North,0.389703214
01/11/19 00:00,North,0.348484397
01/12/19 00:00,North,0.298963845
01/01/20 00:00,North,0.217312902
01/02/20 00:00,North,0.302751839
01/03/20 00:00,North,0.29409349
01/04/20 00:00,North,0.440501869
01/05/20 00:00,North,0.474778026
01/06/20 00:00,North,0.419553071
01/07/20 00:00,North,0.46818912
01/08/20 00:00,North,0.432849854
01/09/20 00:00,North,0.362632245
01/10/20 00:00,North,0.248957589
01/11/20 00:00,North,0.315214694
01/12/20 00:00,North,0.263749868
01/01/21 00:00,North,0.184153914
01/02/21 00:00,North,0.208003715
01/03/21 00:00,North,0.231986523
01/04/21 00:00,North,0.368635803
01/05/21 00:00,North,0.256608039
01/06/21 00:00,North,0.289269656
01/07/21 00:00,North,0.374063849
01/08/21 00:00,North,0.362520427
01/09/21 00:00,North,0.307647556
01/10/21 00:00,North,0.237681106
01/11/21 00:00,North,0.200257316
01/12/21 00:00,North,0.171441689
01/01/22 00:00,North,0.325456321
01/02/22 00:00,North,0.429226846
01/03/22 00:00,North,0.265035719
01/04/22 00:00,North,0.252879739
01/05/22 00:00,North,0.272556782
01/06/22 00:00,North,0.294540852
01/07/22 00:00,North,0.369963914
01/08/22 00:00,North,0.406783789
01/09/22 00:00,North,0.353530318
01/10/22 00:00,North,0.224349663
01/11/22 00:00,North,0.196180031
01/12/22 00:00,North,0.174460068
01/01/23 00:00,North,0.271888137
01/02/23 00:00,North,0.159039184
01/03/23 00:00,North,0.262501091
01/04/23 00:00,North,0.252682924
01/05/23 00:00,North,0.283786505
01/06/23 00:00,North,0.388501912
01/07/23 00:00,North,0.341672391
01/08/23 00:00,North,0.446848184
01/09/23 00:00,North,0.427447557
01/10/23 00:00,North,0.515587509
01/11/23 00:00,North,0.3886922
01/12/23 00:00,North,0.294809848
01/01/24 00:00,North,0.156385586
01/02/24 00:00,North,0.269865692
01/03/24 00:00,North,0.231936336
01/04/24 00:00,North,0.314034224
01/05/24 00:00,North,0.486161888
01/06/24 00:00,North,0.523552239
01/07/24 00:00,North,0.316521227
01/08/24 00:00,North,0.682487071
01/09/24 00:00,North,0.568470299
01/10/24 00:00,North,0.655475914
01/11/24 00:00,North,0.45619753
01/12/24 00:00,North,0.209098622
01/01/19 00:00,South,0.191484764
01/02/19 00:00,South,0.253655583
01/03/19 00:00,South,0.365202844
01/04/19 00:00,South,0.254308015
01/05/19 00:00,South,0.456567734
01/06/19 00:00,South,0.43285802
01/07/19 00:00,South,0.547858834
01/08/19 00:00,South,0.477147311
01/09/19 00:00,South,0.490282267
01/10/19 00:00,South,0.33994481
01/11/19 00:00,South,0.286578625
01/12/19 00:00,South,0.227778167
01/01/20 00:00,South,0.175104424
01/02/20 00:00,South,0.243693411
01/03/20 00:00,South,0.238159195
01/04/20 00:00,South,0.318530321
01/05/20 00:00,South,0.476468861
01/06/20 00:00,South,0.372496575
01/07/20 00:00,South,0.444385856
01/08/20 00:00,South,0.372216195
01/09/20 00:00,South,0.328293175
01/10/20 00:00,South,0.212341815
01/11/20 00:00,South,0.230565712
01/12/20 00:00,South,0.190240785
01/01/21 00:00,South,0.155708641
01/02/21 00:00,South,0.169335827
01/03/21 00:00,South,0.21846813
01/04/21 00:00,South,0.310754806
01/05/21 00:00,South,0.242224917
01/06/21 00:00,South,0.278189421
01/07/21 00:00,South,0.339292049
01/08/21 00:00,South,0.333642006
01/09/21 00:00,South,0.291401953
01/10/21 00:00,South,0.217419654
01/11/21 00:00,South,0.179207712
01/12/21 00:00,South,0.164073452
01/01/22 00:00,South,0.221723378
01/02/22 00:00,South,0.325556815
01/03/22 00:00,South,0.241073847
01/04/22 00:00,South,0.21396482
01/05/22 00:00,South,0.237836853
01/06/22 00:00,South,0.257011265
01/07/22 00:00,South,0.390688717
01/08/22 00:00,South,0.390409589
01/09/22 00:00,South,0.297161788
01/10/22 00:00,South,0.201295212
01/11/22 00:00,South,0.169400662
01/12/22 00:00,South,0.16045703
01/01/23 00:00,South,0.236759782
01/02/23 00:00,South,0.1708709
01/03/23 00:00,South,0.237546265
01/04/23 00:00,South,0.248789236
01/05/23 00:00,South,0.285263091
01/06/23 00:00,South,0.357244343
01/07/23 00:00,South,0.381391257
01/08/23 00:00,South,0.391784787
01/09/23 00:00,South,0.375706643
01/10/23 00:00,South,0.411031634
01/11/23 00:00,South,0.310443968
01/12/23 00:00,South,0.239069194
01/01/24 00:00,South,0.151638895
01/02/24 00:00,South,0.20820494
01/03/24 00:00,South,0.208181843
01/04/24 00:00,South,0.354829848
01/05/24 00:00,South,0.449968576
01/06/24 00:00,South,0.427798837
01/07/24 00:00,South,0.366180152
01/08/24 00:00,South,0.532374024
01/09/24 00:00,South,0.433315843
01/10/24 00:00,South,0.433960885
01/11/24 00:00,South,0.342377514
01/12/24 00:00,South,0.154855207
