date,location,chla
01/01/19 00:00,South,0.131539062
09/01/19 00:00,South,0.152665883
17/01/19 00:00,South,0.129062235
25/01/19 00:00,South,0.090864934
02/02/19 00:00,South,0.138676956
10/02/19 00:00,South,0.178545445
18/02/19 00:00,South,0.186259568
26/02/19 00:00,South,0.16225116
06/03/19 00:00,South,0.115425654
14/03/19 00:00,South,0.127619252
22/03/19 00:00,South,0.20273985
30/03/19 00:00,South,0.289551824
07/04/19 00:00,South,0.161993429
15/04/19 00:00,South,0.148685291
23/04/19 00:00,South,0.159129202
01/05/19 00:00,South,0.172394171
09/05/19 00:00,South,0.794492245
17/05/19 00:00,South,0.25276646
25/05/19 00:00,South,0.208063826
02/06/19 00:00,South,0.325004011
10/06/19 00:00,South,0.437550068
18/06/19 00:00,South,0.288658082
26/06/19 00:00,South,0.310487598
04/07/19 00:00,South,0.417952448
12/07/19 00:00,South,0.295575798
20/07/19 00:00,South,0.364109814
28/07/19 00:00,South,0.367598027
05/08/19 00:00,South,0.330331475
13/08/19 00:00,South,0.341440111
21/08/19 00:00,South,0.372401059
29/08/19 00:00,South,0.374801368
06/09/19 00:00,South,0.320282519
14/09/19 00:00,South,0.511225045
22/09/19 00:00,South,0.240445629
30/09/19 00:00,South,0.235897228
08/10/19 00:00,South,0.241930917
16/10/19 00:00,South,0.232196108
24/10/19 00:00,South,0.204863235
01/11/19 00:00,South,0.176293358
09/11/19 00:00,South,0.180866137
17/11/19 00:00,South,0.138057768
25/11/19 00:00,South,0.12367706
03/12/19 00:00,South,0.133762762
11/12/19 00:00,South,0.106640831
19/12/19 00:00,South,0.098580971
27/12/19 00:00,South,0.075269662
01/01/20 00:00,South,0.079572886
09/01/20 00:00,South,0.089713179
17/01/20 00:00,South,0.107042469
25/01/20 00:00,South,0.139570624
02/02/20 00:00,South,0.122676142
10/02/20 00:00,South,0.185400411
18/02/20 00:00,South,0.220305473
26/02/20 00:00,South,0.1694424
05/03/20 00:00,South,0.114181727
13/03/20 00:00,South,0.150295094
21/03/20 00:00,South,0.120788269
29/03/20 00:00,South,0.110635556
06/04/20 00:00,South,0.132391334
14/04/20 00:00,South,0.168943062
22/04/20 00:00,South,0.144252971
30/04/20 00:00,South,0.129312366
08/05/20 00:00,South,0.249716714
16/05/20 00:00,South,0.110729598
24/05/20 00:00,South,0.529166937
01/06/20 00:00,South,0.262081653
09/06/20 00:00,South,0.267226934
17/06/20 00:00,South,0.267977953
25/06/20 00:00,South,0.294766992
03/07/20 00:00,South,0.626223981
11/07/20 00:00,South,0.416290015
19/07/20 00:00,South,0.295249134
27/07/20 00:00,South,0.295883626
04/08/20 00:00,South,0.266881227
12/08/20 00:00,South,0.228502437
28/08/20 00:00,South,0.301341474
05/09/20 00:00,South,0.247831479
13/09/20 00:00,South,0.233970478
21/09/20 00:00,South,0.176378578
29/09/20 00:00,South,0.154238105
07/10/20 00:00,South,0.141029
15/10/20 00:00,South,0.13331455
23/10/20 00:00,South,0.121931016
31/10/20 00:00,South,0.135267183
08/11/20 00:00,South,0.115964182
16/11/20 00:00,South,0.129246294
24/11/20 00:00,South,0.104217924
02/12/20 00:00,South,0.094379678
10/12/20 00:00,South,0.09149766
18/12/20 00:00,South,0.097169273
26/12/20 00:00,South,0.086196438
01/01/21 00:00,South,0.128111511
09/01/21 00:00,South,0.174351111
17/01/21 00:00,South,0.141287073
25/01/21 00:00,South,0.093321689
10/02/21 00:00,South,0.177680746
26/02/21 00:00,South,0.188017964
06/03/21 00:00,South,0.154849172
14/03/21 00:00,South,0.143672347
22/03/21 00:00,South,0.147364363
30/03/21 00:00,South,0.349702001
07/04/21 00:00,South,0.205078706
15/04/21 00:00,South,0.153805241
23/04/21 00:00,South,0.143663779
01/05/21 00:00,South,0.145707533
09/05/21 00:00,South,0.171101555
17/05/21 00:00,South,0.178635508
25/05/21 00:00,South,0.195913345
02/06/21 00:00,South,0.185967475
10/06/21 00:00,South,0.171467841
18/06/21 00:00,South,0.17406027
26/06/21 00:00,South,0.195307791
04/07/21 00:00,South,0.239718869
12/07/21 00:00,South,0.269187748
20/07/21 00:00,South,0.258438319
28/07/21 00:00,South,0.226116404
05/08/21 00:00,South,0.278114468
13/08/21 00:00,South,0.241150051
21/08/21 00:00,South,0.193600506
06/09/21 00:00,South,0.236353457
14/09/21 00:00,South,0.25214836
22/09/21 00:00,South,0.215276912
30/09/21 00:00,South,0.192160159
08/10/21 00:00,South,0.155979022
16/10/21 00:00,South,0.162372917
24/10/21 00:00,South,0.140904427
01/11/21 00:00,South,0.146151796
09/11/21 00:00,South,0.126441583
17/11/21 00:00,South,0.127751589
25/11/21 00:00,South,0.109513387
03/12/21 00:00,South,0.133102834
11/12/21 00:00,South,0.146417588
19/12/21 00:00,South,0.098115459
27/12/21 00:00,South,0.121409513
01/01/22 00:00,South,0.094151616
09/01/22 00:00,South,0.154566735
17/01/22 00:00,South,0.138907805
25/01/22 00:00,South,0.126394704
02/02/22 00:00,South,0.17776382
10/02/22 00:00,South,0.201408342
18/02/22 00:00,South,0.132479504
26/02/22 00:00,South,0.185427517
06/03/22 00:00,South,0.115671173
14/03/22 00:00,South,0.143258572
22/03/22 00:00,South,0.095315427
30/03/22 00:00,South,0.125512362
15/04/22 00:00,South,0.135223225
23/04/22 00:00,South,0.146448657
01/05/22 00:00,South,0.130849734
09/05/22 00:00,South,0.16722329
17/05/22 00:00,South,0.150811523
25/05/22 00:00,South,0.154312298
02/06/22 00:00,South,0.145487383
10/06/22 00:00,South,0.206407145
18/06/22 00:00,South,0.19824487
26/06/22 00:00,South,0.242646977
04/07/22 00:00,South,0.593012631
12/07/22 00:00,South,0.31582126
20/07/22 00:00,South,0.259154975
28/07/22 00:00,South,0.246150434
05/08/22 00:00,South,0.230399683
13/08/22 00:00,South,0.38603732
21/08/22 00:00,South,0.410830766
29/08/22 00:00,South,0.201889277
06/09/22 00:00,South,0.193617478
14/09/22 00:00,South,0.172690272
22/09/22 00:00,South,0.171035901
30/09/22 00:00,South,0.157055274
08/10/22 00:00,South,0.133319229
16/10/22 00:00,South,0.099364504
24/10/22 00:00,South,0.104725584
01/11/22 00:00,South,0.13781476
09/11/22 00:00,South,0.134642154
17/11/22 00:00,South,0.075101078
25/11/22 00:00,South,0.118759513
03/12/22 00:00,South,0.120796651
11/12/22 00:00,South,0.103925347
19/12/22 00:00,South,0.081965491
01/01/23 00:00,South,0.145377159
09/01/23 00:00,South,0.20285593
17/01/23 00:00,South,0.155703366
25/01/23 00:00,South,0.179380834
02/02/23 00:00,South,0.142756939
10/02/23 00:00,South,0.114906855
18/02/23 00:00,South,0.110689811
06/03/23 00:00,South,0.197189242
14/03/23 00:00,South,0.149337456
22/03/23 00:00,South,0.147430018
30/03/23 00:00,South,0.100866683
07/04/23 00:00,South,0.134621441
