Title:,"Time Series, Area-Averaged of Chlorophyll a concentration (water only) monthly (monthly)"
User Start Date:,2019-01-01T00:00:00Z
User End Date:,2024-12-31T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2019-01-01T00:00:00Z&endtime=2024-12-31T23:59:59Z&shape=state_dept_countries_2017/shp_220&&data=MODISA_L3m_CHL_Mo_4km_R2022_0_chlor_a&portal=GIOVANNI&format=json"
Fill Value (mean_MODISA_L3m_CHL_Mo_4km_R2022_0_chlor_a):, -32767

time, mean_MODISA_L3m_CHL_Mo_4km_R2022_0_chlor_a
2019-01-01 00:00:00,0.380532742
2019-02-01 00:00:00,0.436019272
2019-03-01 00:00:00,0.790236771
2019-04-01 00:00:00,0.383477747
2019-05-01 00:00:00,0.798726857
2019-06-01 00:00:00,0.703962505
2019-07-01 00:00:00,1.02200651
2019-08-01 00:00:00,0.66566968
2019-09-01 00:00:00,0.786439002
2019-10-01 00:00:00,0.412697703
2019-11-01 00:00:00,0.289069384
2019-12-01 00:00:00,0.223788172
2020-01-01 00:00:00,0.305839121
2020-02-01 00:00:00,0.461538345
2020-03-01 00:00:00,0.380727768
2020-04-01 00:00:00,0.391319424
2020-05-01 00:00:00,0.83780247
2020-06-01 00:00:00,0.709543645
2020-07-01 00:00:00,0.573941708
2020-08-01 00:00:00,0.504780531
2020-09-01 00:00:00,0.429576427
2020-10-01 00:00:00,0.264464438
2020-11-01 00:00:00,0.245142862
2020-12-01 00:00:00,0.31847316
2021-01-01 00:00:00,0.384558678
2021-02-01 00:00:00,0.455429971
2021-03-01 00:00:00,0.405886978
2021-04-01 00:00:00,0.607836366
2021-05-01 00:00:00,0.333504736
2021-06-01 00:00:00,0.418048829
2021-07-01 00:00:00,0.444518864
2021-08-01 00:00:00,0.424410462
2021-09-01 00:00:00,0.428631812
2021-10-01 00:00:00,0.298117787
2021-11-01 00:00:00,0.248280436
2021-12-01 00:00:00,0.372413784
2022-01-01 00:00:00,0.518521011
2022-02-01 00:00:00,0.515960276
2022-03-01 00:00:00,0.415582061
2022-04-01 00:00:00,0.284176379
2022-05-01 00:00:00,0.306827694
2022-06-01 00:00:00,0.344440013
2022-07-01 00:00:00,0.464960009
2022-08-01 00:00:00,0.557896018
2022-09-01 00:00:00,0.318725646
2022-10-01 00:00:00,0.281882942
2022-11-01 00:00:00,0.329639107
2022-12-01 00:00:00,0.294416189
2023-01-01 00:00:00,0.390905559
2023-02-01 00:00:00,0.496238351
2023-03-01 00:00:00,0.413815677
2023-04-01 00:00:00,0.436137825
2023-05-01 00:00:00,0.460560471
2023-06-01 00:00:00,0.488776237
2023-07-01 00:00:00,0.765339613
2023-08-01 00:00:00,0.636802077
2023-09-01 00:00:00,0.610820353
2023-10-01 00:00:00,0.425741494
2023-11-01 00:00:00,0.298887223
2023-12-01 00:00:00,0.342130989
2024-01-01 00:00:00,0.251621306
2024-02-01 00:00:00,0.415647238
2024-03-01 00:00:00,0.390245944
2024-04-01 00:00:00,0.836946964
2024-05-01 00:00:00,0.701344669
2024-06-01 00:00:00,0.507528007
2024-07-01 00:00:00,0.697881818
2024-08-01 00:00:00,0.581837952
2024-09-01 00:00:00,0.461261392
2024-10-01 00:00:00,0.302720159
2024-11-01 00:00:00,0.226435155
2024-12-01 00:00:00,0.357978404
