area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
Timor Leste,eez,Reconstructed domestic catch,2,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Timor Leste,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,94.09179756,5.603743233
Timor Leste,eez,Reconstructed domestic catch,2,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Timor Leste,Artisanal,Landings,Unreported,harpoon,Direct human consumption,1.698876512,0.101178509
Timor Leste,eez,Reconstructed domestic catch,2,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Timor Leste,Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,4.787742897,0.285139434
Timor Leste,eez,Reconstructed domestic catch,2,1950,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,Timor Leste,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,25.56297605,13037.00813
Timor Leste,eez,Reconstructed domestic catch,2,1950,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,Timor Leste,Artisanal,Landings,Unreported,small scale lines,Direct human consumption,1.853319831,945.1851641
Timor Leste,eez,Reconstructed domestic catch,2,1950,Scombroidei,"Tunas, bonitos, billfishes",Large pelagics (>=90 cm),Tuna & billfishes,Timor Leste,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,430.3100969,387524.9582
Timor Leste,eez,Reconstructed domestic catch,2,1950,Scombroidei,"Tunas, bonitos, billfishes",Large pelagics (>=90 cm),Tuna & billfishes,Timor Leste,Artisanal,Landings,Unreported,small scale lines,Direct human consumption,31.19755049,28095.62113
Timor Leste,eez,Reconstructed domestic catch,2,1950,Exocoetidae,Flyingfishes,Small pelagics (<30 cm),Other fishes & inverts,Timor Leste,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,17.04198403,10722.852
Timor Leste,eez,Reconstructed domestic catch,2,1950,Exocoetidae,Flyingfishes,Small pelagics (<30 cm),Other fishes & inverts,Timor Leste,Artisanal,Landings,Unreported,small scale purse seine,Direct human consumption,1.235546554,777.4084764
Timor Leste,eez,Reconstructed domestic catch,2,1950,Serranidae,"Basses, groupers, hinds",Medium reef assoc. fish (30 - 89 cm),Perch-likes,Timor Leste,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,10.65124002,8185.378311
