region,date_bin_start,n_landings_per_boat,catch_taxon,catch_name_en,recorded_catch_kg,estimated_catch_kg
Baucau,01/01/18,6.186273881,BEN,Long tom,0,0
Baucau,01/01/18,6.186273881,CGX,Jacks/Trevally/Other Scad,0.007574479,1356.9036
Baucau,01/01/18,6.186273881,CJX,Fusilier,0,0
Baucau,01/01/18,6.186273881,CLP,Sardines/pilchards,0.13266734,23766.22657
Baucau,01/01/18,6.186273881,FLY,Flying fish,0,0
Baucau,01/01/18,6.186273881,GZP,Garfish,0,0
Baucau,01/01/18,6.186273881,LWX,Jobfish,0.008101727,1451.355571
Baucau,01/01/18,6.186273881,MOO,Moonfish,0,0
Baucau,01/01/18,6.186273881,MZZ,Other,0,0
Baucau,01/01/18,6.186273881,RAX,Short bodied mackerel,0,0
Baucau,01/01/18,6.186273881,SDX,Mackerel scad,0,0
Baucau,01/01/18,6.186273881,SNA,Snapper/seaperch,0,0
Baucau,01/01/18,6.186273881,TUN,Tuna/Bonito/Other Mackerel,0,0
Baucau,01/02/18,5.492947746,BEN,Long tom,0,0
Baucau,01/02/18,5.492947746,CGX,Jacks/Trevally/Other Scad,0.298562521,710.1149461
Baucau,01/02/18,5.492947746,CJX,Fusilier,0,0
Baucau,01/02/18,5.492947746,CLP,Sardines/pilchards,0.095565405,227.2971909
Baucau,01/02/18,5.492947746,FLY,Flying fish,0,0
Baucau,01/02/18,5.492947746,GZP,Garfish,0,0
Baucau,01/02/18,5.492947746,LWX,Jobfish,0,0
Baucau,01/02/18,5.492947746,MOO,Moonfish,0,0
Baucau,01/02/18,5.492947746,MZZ,Other,0.652022129,1550.799667
Baucau,01/02/18,5.492947746,RAX,Short bodied mackerel,0,0
Baucau,01/02/18,5.492947746,SDX,Mackerel scad,0,0
Baucau,01/02/18,5.492947746,SNA,Snapper/seaperch,0,0
Baucau,01/02/18,5.492947746,TUN,Tuna/Bonito/Other Mackerel,0,0
Baucau,01/03/18,6.058377246,BEN,Long tom,0,0
Baucau,01/03/18,6.058377246,CGX,Jacks/Trevally/Other Scad,2.994964017,7856.621262
Baucau,01/03/18,6.058377246,CJX,Fusilier,0,0
Baucau,01/03/18,6.058377246,CLP,Sardines/pilchards,0,0
Baucau,01/03/18,6.058377246,FLY,Flying fish,0,0
Baucau,01/03/18,6.058377246,GZP,Garfish,0,0
Baucau,01/03/18,6.058377246,LWX,Jobfish,0,0
Baucau,01/03/18,6.058377246,MOO,Moonfish,0,0
Baucau,01/03/18,6.058377246,MZZ,Other,0,0
Baucau,01/03/18,6.058377246,RAX,Short bodied mackerel,0,0
Baucau,01/03/18,6.058377246,SDX,Mackerel scad,0,0
Baucau,01/03/18,6.058377246,SNA,Snapper/seaperch,0,0
Baucau,01/03/18,6.058377246,TUN,Tuna/Bonito/Other Mackerel,0,0
Baucau,01/04/18,6.167464282,BEN,Long tom,0.013838668,34.57760024
Baucau,01/04/18,6.167464282,CGX,Jacks/Trevally/Other Scad,0.263258569,657.7836276
Baucau,01/04/18,6.167464282,CJX,Fusilier,0.127852383,319.454765
Baucau,01/04/18,6.167464282,CLP,Sardines/pilchards,4.627503929,11562.38268
Baucau,01/04/18,6.167464282,FLY,Flying fish,0.004660527,11.64489572
Baucau,01/04/18,6.167464282,GZP,Garfish,0.244813891,611.697351
Baucau,01/04/18,6.167464282,LWX,Jobfish,0.006350641,15.86785026
Baucau,01/04/18,6.167464282,MOO,Moonfish,5.89E-05,0.147171642
Baucau,01/04/18,6.167464282,MZZ,Other,0.295186645,737.5598162
Baucau,01/04/18,6.167464282,RAX,Short bodied mackerel,0.074982327,187.3524853
Baucau,01/04/18,6.167464282,SDX,Mackerel scad,5.055711878,12632.31244
Baucau,01/04/18,6.167464282,SNA,Snapper/seaperch,0.112401442,280.8487056
Baucau,01/04/18,6.167464282,TUN,Tuna/Bonito/Other Mackerel,0.726734646,1815.835105
Baucau,01/05/18,6.269057815,BEN,Long tom,0.010349836,29.14568793
Baucau,01/05/18,6.269057815,CGX,Jacks/Trevally/Other Scad,0.355518716,1001.159546
Baucau,01/05/18,6.269057815,CJX,Fusilier,0.173489837,488.5565764
Baucau,01/05/18,6.269057815,CLP,Sardines/pilchards,4.44599238,12520.15018
Baucau,01/05/18,6.269057815,FLY,Flying fish,0.008107468,22.83105952
Baucau,01/05/18,6.269057815,GZP,Garfish,0.206812671,582.3954414
Baucau,01/05/18,6.269057815,LWX,Jobfish,0.004856693,13.67670551
Baucau,01/05/18,6.269057815,MOO,Moonfish,5.51E-05,0.155091936
Baucau,01/05/18,6.269057815,MZZ,Other,0.312492201,879.9946006
Baucau,01/05/18,6.269057815,RAX,Short bodied mackerel,0.081028264,228.1798871
Baucau,01/05/18,6.269057815,SDX,Mackerel scad,5.082107598,14311.48434
Baucau,01/05/18,6.269057815,SNA,Snapper/seaperch,0.088574976,249.4318278
Baucau,01/05/18,6.269057815,TUN,Tuna/Bonito/Other Mackerel,0.741166687,2087.164672
Baucau,01/06/18,6.102847837,BEN,Long tom,0,0
Baucau,01/06/18,6.102847837,CGX,Jacks/Trevally/Other Scad,0.236557834,625.111909
Baucau,01/06/18,6.102847837,CJX,Fusilier,0.190627006,503.7381765
Baucau,01/06/18,6.102847837,CLP,Sardines/pilchards,7.378242396,19497.24985
Baucau,01/06/18,6.102847837,FLY,Flying fish,0,0
Baucau,01/06/18,6.102847837,GZP,Garfish,0,0
Baucau,01/06/18,6.102847837,LWX,Jobfish,0.112092031,296.2069041
Baucau,01/06/18,6.102847837,MOO,Moonfish,0,0
Baucau,01/06/18,6.102847837,MZZ,Other,1.897541004,5014.314936
Baucau,01/06/18,6.102847837,RAX,Short bodied mackerel,0,0
Baucau,01/06/18,6.102847837,SDX,Mackerel scad,0,0
Baucau,01/06/18,6.102847837,SNA,Snapper/seaperch,0.36974332,977.0589655
Baucau,01/06/18,6.102847837,TUN,Tuna/Bonito/Other Mackerel,0.18051904,477.0275408
Baucau,01/07/18,5.916331983,BEN,Long tom,0,0
