Location,Site,Date,Year,Time,Depth,Transect,Width,Family,Functional_Group,Species,Scientific_name,Length,Number,a,b,Biomass_g,Biomass_kg
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Serranidae,Piscivore,cep.urod,Cephalopholis urodeta,22,1,0.0282,2.818,171.0788109,0.171078811
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Serranidae,Piscivore,cep.urod,Cephalopholis urodeta,17,1,0.0282,2.818,82.7283131,0.082728313
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Serranidae,Piscivore,cep.urod,Cephalopholis urodeta,20,1,0.0282,2.818,130.7831026,0.130783103
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Serranidae,Piscivore,cep.argu,Cephalopholis argus,26,1,0.0093,3.181,294.790286,0.294790286
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Serranidae,Piscivore,epi.fasc,Epinephelus fasciatus,25,1,0.0138,3.041,246.0450617,0.246045062
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Balistidae,Grazer,mel.nige,Melichthys niger,22,5,0.0374,2.919,310.0297767,1.550148884
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Chaetodontidae,Grazer,cha.klei,Chaetodon kleinii,9,4,0.045,2.814,21.799721,0.087198884
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Mullidae,Grubber,par.indi,Parupeneus indicus,16,1,0.0142,3.114,79.78439761,0.079784398
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Mullidae,Grubber,par.cycl,Parupeneus cyclostomus,20,1,0.0145,3.13,171.2347439,0.171234744
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.psit,Scarus psittacus,23,1,0.0105,3.319,347.3473475,0.347347348
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.psit,Scarus psittacus,20,1,0.0105,3.319,218.4277714,0.218427771
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.psit,Scarus psittacus,17,1,0.0105,3.319,127.3647563,0.127364756
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.psit,Scarus psittacus,14,3,0.0105,3.319,66.8633681,0.200590104
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.psit,Scarus psittacus,12,16,0.0105,3.319,40.08591993,0.641374719
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.psit,Scarus psittacus,10,6,0.0105,3.319,21.88715427,0.131322926
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.nigr,Scarus niger,16,1,0.0134,3.16,85.53107757,0.085531078
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.nigr,Scarus niger,11,1,0.0134,3.16,26.17614474,0.026176145
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.tric,Scarus tricolor,21,1,0.0234,2.956,189.5379123,0.189537912
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.tric,Scarus tricolor,18,1,0.0234,2.956,120.1714724,0.120171472
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.rubr,Scarus rubroviolaceus,45,1,0.0234,2.956,1803.48298,1.80348298
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Scaridae,Grazer,sca.rubr,Scarus rubroviolaceus,36,1,0.0234,2.956,932.4940077,0.932494008
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Acanthuridae,Grazer,cte.stri,Ctenochaetus striatus,12,5,0.0231,3.063,46.6814284,0.233407142
Adara,Site 1,2016-12-03 00:00:00 UTC,2016,1130,5-10m,1,5,Acanthuridae,Grazer,cte.stri,Ctenochaetus striatus,14,3,0.0231,3.063,74.85178357,0.224555351
