Genus,Species,Binomial,Peskas_Group,Recorded_Reports,Max_age,Max_length_cm,Common_length_cm,a,b,L_maturity_cm,Common_depth_range_m,Generation_time_years,Population_doubling_Years,Spawning,Trophic_Level,Food 1,Food 2,Food 3
Lutjanus,Sebae,Lutjanus Sebae,Snappers and seaperches,ATSEA EAFM Snapper Report,40,116,60,0.01413,3.03,54.2,,6.9,1.4-4.4,Broadcast,4.1,"Zoobenthos
Nekton","Benthic crustaceans
Planktonic crustaceans
Finfish
Worms
Cephalopods","Bony fish
Squid/cuttlefish
Crabs
Shrimps/prawns
Stomatopods
Mysids
Polychaetes"
Etelis,carbunculus,Etelis carbunculus,Snappers and seaperches,"ATSEA EAFM Snapper Report
Johnson et al., 2021",32,127,65,0.01549,b=2.95,61,,,>14,,4.5,"Zoobenthos
Nekton","Cephalopods
Finfish
Benthic crustaceans
Pelagic inverts","Bony fish
Squid/cuttlefish
Crabs
Shrimps/prawns
Uruchordate"
Etelis,radiosus,Etelis radiosus,Snappers and seaperches,ATSEA EAFM Snapper Report,,80,,0.02042,2.95,,,5.1,1.4-4.4,,4.5,Nekton,Finfish,Fin fish
Lipocheilus,carnolabrum,Lipocheilus carnolabrum,Snappers and seaperches,ATSEA EAFM Snapper Report,,50,60,0.03467,b=2.91,,,5.1,1.4-4.4,,3.9,"Zoobenthos
Nekton","Benthic crustaceans
Finfish
","Bony fish
Other benthic crustaceans
Other benthic inverts"
Symphorus,nemathoporus,Symphorus nemathoporus,Snappers and seaperches,ATSEA EAFM Snapper Report,,100,35,0.01202,3.03,,,4.8,1.4-4.4,,4.1,"Zoobenthos
Nekton","Finfish
Benthic crustaceans","Finfish
Bony fish
Crustaceans"
Lutjanus,argentimaculatus,Lutjanus argentimaculatus,Snappers and seaperches,"ATSEA EAFM Snapper Report
Johnson et al., 2021",31,150,80,0.01514,2.97,57,,5.9,,,3.6,"Zoobenthos
Nekton","Benthic crustaceans
Planktonic crustaceans
Finfish","Crabs
Shirmps
Mysids
Bony Fish"
Lutjanus,bitaeniatus,Lutjanus bitaeniatus,Snappers and seaperches,ATSEA EAFM Snapper Report,,30,,0.01479,2.97,,,,1.4-4.4,,3.8,Unknown,Unknown,Unknown
Lutjanus,bohar,Lutjanus bohar,Snappers and seaperches,"ATSEA EAFM Snapper Report
CTC Manufahi Survey (In situ)",55,90,76,0.01349 ,2.99,42.9,,,1.4-4.4,Form aggregations,4.3,"Zoobenthos
Nekton","Benthic crustaceans
Finfish
Mollusks
Sponges/tunicates","Amphipods
Shrimps/prawns
Stomatopods
Gastropods
Ascidians
Crabs"
Lutjanus,erythropterus,Lutjanus erythropterus,Snappers and seaperches,"ATSEA EAFM Snapper Report
",8,81.6,45,0.01514,2.96,50.2,,,1.4-4.4,Serial batch,4.5,"Zoobenthos
Nekton","Fish
Cehalopods
Finfish
Benthic crustaceans","Fish eggs/larvae (chanos chanos)
Squids/cuttelfish"
Lutjanus,carponotatus,Lutjanus carponotatus,Snappers and seaperches,"ATSEA EAFM Snapper Report
CTC Manufahi Survey (In situ)",20,40,30,0.01479,2.96,18.6,,,1.4-4.4,,3.9,"Zoobenthos
Nekton","Benthic crustaceans
Finfish","Benthic crustaceans
Bony fish"
