Genus,Species,Binomial,Peskas_Group
Lutjanus,Sebae,Lutjanus Sebae,Snappers and seaperches
Etelis,carbunculus,Etelis carbunculus,Snappers and seaperches
Aprion,virescens,Aprion virescens,Job Fishes
Etelis,radiosus,Etelis radiosus,Snappers and seaperches
Lipocheilus,carnolabrum,Lipocheilus carnolabrum,Snappers and seaperches
Pristipomoides,filamentosus,Pristipomoides filamentosus,Job Fishes
Pristipomoides,typus,Pristipomoides typus,Job Fishes
Pristipomoides,multidens,Pristipomoides multidens,Job Fishes
Symphorus,nemathoporus,Symphorus nemathoporus,Snappers and seaperches
Lutjanus,argentimaculatus,Lutjanus argentimaculatus,Snappers and seaperches
Lutjanus,bitaeniatus,Lutjanus bitaeniatus,Snappers and seaperches
Lutjanus,bohar,Lutjanus bohar,Snappers and seaperches
Lutjanus,erythropterus,Lutjanus erythropterus,Snappers and seaperches
Lutjanus,carponotatus,Lutjanus carponotatus,Snappers and seaperches
Lutjanus,decussates,Lutjanus decussates,Snappers and seaperches
Lutjanus,malabaricus,Lutjanus malabaricus,Snappers and seaperches
Lutjanus,rufolineatus,Lutjanus rufolineatus,Snappers and seaperches
Lutjanus,kasmira,Lutjanus kasmira,Snappers and seaperches
Lutjanus,quinquelineatus,Lutjanus quinquelineatus,Snappers and seaperches
Lutjanus,fulviflamma,Lutjanus fulviflamma,Snappers and seaperches
Lutjanus,rivulatus,Lutjanus rivulatus,Snappers and seaperches
Lutjanus,vita,Lutjanus vita,Snappers and seaperches
Lutjanus,russelli,Lutjanus russelli,Snappers and seaperches
Lutjanus,lutjanus,Lutjanus lutjanus,Snappers and seaperches
Lutjanus,lemniscatus,Lutjanus lemniscatus,Snappers and seaperches
Aphareus,rutilans,Aphareus rutilans,Job Fishes
Lutjanus,adetii,Lutjanus adetii,Snappers and seaperches
Lutjanus,bengalensis,Lutjanus bengalensis,Snappers and seaperches
Lutjanus,biguttatus,Lutjanus biguttatus,Snappers and seaperches
Lutjanus,boutton,Lutjanus boutton,Snappers and seaperches
Lutjanus,ehrenbergi,Lutjanus ehrenbergi,Snappers and seaperches
Lutjanus,fulvus,Lutjanus fulvus,Snappers and seaperches
Lutjanus,gibbus,Lutjanus gibbus,Snappers and seaperches
Lutjanus,johnii,Lutjanus johnii,Snappers and seaperches
Lutjanus,lunulatus,Lutjanus lunulatus,Snappers and seaperches
Lutjanus,madras,Lutjanus madras,Snappers and seaperches
Lutjanus,monostigma,Lutjanus monostigma,Snappers and seaperches
Lutjanus,semicinctus ,Lutjanus semicinctus ,Snappers and seaperches
Lutjanus,timoriensis ,Lutjanus timoriensis ,Snappers and seaperches
Paracaesio,sordida,Paracaesio sordida,Snappers and seaperches
Pristipomoides,auricilla,Pristipomoides auricilla,Job Fishes
Pristipomoides,flavipinnis,Pristipomoides flavipinnis,Job Fishes
Pristipomoides,zonatus,Pristipomoides zonatus,Job Fishes
Epinephelus ,fuscoguttatus,Epinephelus  fuscoguttatus,Groupers
Ctenochaetus,striatus ,Ctenochaetus striatus ,Surgeonfishes
Mene ,maculata ,Mene  maculata ,Moonfishes
Amblygaster ,sirm,Amblygaster  sirm,Sardines and Herring
Triaenodon ,obesus ,Triaenodon  obesus ,Sharks_Peskas group?
Rastrelliger ,brachysoma ,Rastrelliger  brachysoma ,Short bodied mackerel
Mobula ,alfredi ,Mobula  alfredi ,Mantas_Peskas group?
Epinephelus ,fasciatus ,Epinephelus  fasciatus ,Groupers
Thunnus ,albacares ,Thunnus  albacares ,Tuna/Bonito/Other Mackerel
Lethrinus  ,ornatus ,Lethrinus   ornatus ,Emperors
Auxis, thazard ,Auxis  thazard ,Tuna/Bonito/Other Mackerel
Macolor ,macularis,Macolor  macularis,Snappers and seaperches
Macolor ,niger,Macolor  niger,Snappers and seaperches
Pterocaesio ,tile,Pterocaesio  tile,Fusilier
Caesio,teres,Caesio teres,Fusilier
Caesio,lunaris,Caesio lunaris,Fusilier
Paracaesio,xanthura,Paracaesio xanthura,Snappers and seaperches
Scomberomorus ,commerson ,Scomberomorus  commerson ,Tuna/Bonito/Other Mackerel
Caranx ,melampygus ,Caranx  melampygus ,Jacks and trevallies
Siganus,argenteus,Siganus argenteus,Spinefoot
Siganus,guttatus,Siganus guttatus,Spinefoot
Myripristis ,murdjan,Myripristis  murdjan,Soldierfishes
"Acanthurus	",nigricans,"Acanthurus	 nigricans",Surgeonfishes
Arius ,arius,Arius  arius,Threadfins
Pseudobalistes,flavimarginatus,Pseudobalistes flavimarginatus,Triggerfishes
Tylosurus ,crocodilus,Tylosurus  crocodilus,Garfishes
Alectis ,ciliaris,Alectis  ciliaris,Jacks and trevallies
Atropus ,hedlandensis,Atropus  hedlandensis,Jacks and trevallies
