Abudefduf	vaigiensis	Abudefduf vaigiensis	Sergeant
Acanthochromis	polyacanthus	Acanthochromis polyacanthus	Damselfishes
Acanthocybium 	solandri	Acanthocybium  solandri	Tuna/Bonito/Other Mackerel
Acanthurus			
Acanthurus	lineatus	Acanthurus lineatus	Surgeonfishes
Acanthurus	nigrofuscus	Acanthurus nigrofuscus	Surgeonfishes
Acanthurus	mata	Acanthurus mata	Surgeonfishes
Acanthurus	pyroferus	Acanthurus pyroferus	Surgeonfishes
Acanthurus	nigricauda	Acanthurus nigricauda	Surgeonfishes
Acanthurus	nigricans	Acanthurus nigricans	Surgeonfishes
Acanthurus	blochii	Acanthurus blochii	Surgeonfishes
Acanthurus	xanthopterus	Acanthurus xanthopterus	Surgeonfishes
Acanthurus	bariene	Acanthurus bariene	Surgeonfishes
Acanthurus	triostegus	Acanthurus triostegus	Surgeonfishes
Aethaloperca	rogaa	Aethaloperca rogaa	Groupers
Alectis 	ciliaris	Alectis  ciliaris	Jacks and trevallies
Amblygaster 	sirm	Amblygaster  sirm	Sardines and Herring
Amblyglyphidodon	aureus	Amblyglyphidodon aureus	Damselfishes
Amblyglyphidodon	leucogaster	Amblyglyphidodon leucogaster	Damselfishes
Amblyglyphidodon	curacao	Amblyglyphidodon curacao	Damselfishes
Amphiprion	species	Amphiprion species	Damselfishes
Anampses	twistii	Anampses twistii	Wrasses
Aphareus	furca	Aphareus furca	Snappers and seaperches
Apogon	species	Apogon species	Other planktivorous fishes
Apolemichthys	trimaculatus	Apolemichthys trimaculatus	Other herbivorous fishes
Aprion	virescens	Aprion virescens	Job Fishes
Arius 	arius	Arius  arius	Threadfins
Arothron	nigropunctatus	Arothron nigropunctatus	Other herbivorous fishes
Atropus 	hedlandensis	Atropus  hedlandensis	Jacks and trevallies
Aurigequula 	fasciata	Aurigequula  fasciata	Ponyfishes
Auxis	 thazard 	Auxis  thazard 	Tuna/Bonito/Other Mackerel
Balistapus	undulatus	Balistapus undulatus	Triggerfishes
Balistoides	viridescens	Balistoides viridescens	Triggerfishes
Bodianus	diana	Bodianus diana	Wrasses
Bodianus	mesothorax	Bodianus mesothorax	Wrasses
Calotomus	carolinus	Calotomus carolinus	Parrotfishes
Carangoides 	praeustus	Carangoides  praeustus	Jacks and trevallies
Caranx	melampygus	Caranx melampygus	Jacks and trevallies
Caranx	tille	Caranx tille	Jacks and trevallies
Caranx 	melampygus 	Caranx  melampygus 	Jacks and trevallies
Caranx 	sexfasciatus	Caranx  sexfasciatus	Jacks and trevallies
Caranx 	tille	Caranx  tille	Jacks and trevallies
Carcharhinus 	falciformis	Carcharhinus  falciformis	Sharks_Peskas group?
Centropyge	bicolor	Centropyge bicolor	Other herbivorous fishes
Centropyge	tibicen	Centropyge tibicen	Other herbivorous fishes
Centropyge	flavicauda	Centropyge flavicauda	Other herbivorous fishes
Centropyge	vrolikii	Centropyge vrolikii	Other herbivorous fishes
Cephalopholis	urodeta	Cephalopholis urodeta	Groupers
Cephalopholis	argus	Cephalopholis argus	Groupers
Cephalopholis	leopardus	Cephalopholis leopardus	Groupers
Cetoscarus	bicolor	Cetoscarus bicolor	Parrotfishes
Chaetodon	kleinii	Chaetodon kleinii	Butterflyfishes
Chaetodon	rafflesii	Chaetodon rafflesii	Butterflyfishes
Chaetodon	baronessa	Chaetodon baronessa	Butterflyfishes
Chaetodon	auriga	Chaetodon auriga	Butterflyfishes
Chaetodon	speculum	Chaetodon speculum	Butterflyfishes
Chaetodon	vagabundus	Chaetodon vagabundus	Butterflyfishes
Chaetodon	melannotus	Chaetodon melannotus	Butterflyfishes
Chaetodon	lunulatus	Chaetodon lunulatus	Butterflyfishes
Chaetodon	meyer	Chaetodon meyer	Butterflyfishes
Chaetodon	lunula	Chaetodon lunula	Butterflyfishes
Chaetodon	ornatissimus	Chaetodon ornatissimus	Butterflyfishes
Chaetodon	trifascialis	Chaetodon trifascialis	Butterflyfishes
Chaetodon	ocellicaudus	Chaetodon ocellicaudus	Butterflyfishes
Chaetodon	adiergastos	Chaetodon adiergastos	Butterflyfishes
Cheilinus	trilobatus	Cheilinus trilobatus	Wrasses
Cheilinus	undulatus	Cheilinus undulatus	Wrasses
Chirocentrus 	dorab	Chirocentrus  dorab	Wolf herring
Chirocentrus 	nudus	Chirocentrus  nudus	Wolf herring
Chlorurus	microrhinos	Chlorurus microrhinos	Parrotfishes
Chlorurus	sordidus	Chlorurus sordidus	Parrotfishes
Chlorurus	japanensis	Chlorurus japanensis	Parrotfishes
Chlorurus	bleekeri	Chlorurus bleekeri	Parrotfishes
Chlorurus	capistratoides	Chlorurus capistratoides	Parrotfishes
Choerodon	anchorago	Choerodon anchorago	Wrasses
Chromis	margaritifer	Chromis margaritifer	Damselfishes
Chromis	lepidolepis	Chromis lepidolepis	Damselfishes
Chromis	weberi	Chromis weberi	Damselfishes
Chromis	atripectoralis	Chromis atripectoralis	Damselfishes
Chromis	ternatensis	Chromis ternatensis	Damselfishes
Chromis	xanthura	Chromis xanthura	Damselfishes
Chromis	xanthochira	Chromis xanthochira	Damselfishes
Chromis	caudalis	Chromis caudalis	Damselfishes
Chromis	lineata	Chromis lineata	Damselfishes
Chromis	viridis	Chromis viridis	Damselfishes
Chromis	retrofasciata	Chromis retrofasciata	Damselfishes
Chromis	alpha	Chromis alpha	Damselfishes
Chrysiptera	talboti	Chrysiptera talboti	Damselfishes
Chrysiptera	rollandi	Chrysiptera rollandi	Damselfishes
Chrysiptera	rex	Chrysiptera rex	Damselfishes
Cirrhilabrus	aurantidorsalis	Cirrhilabrus aurantidorsalis	Wrasses
Cirrhilabrus	exquisitus	Cirrhilabrus exquisitus	Wrasses
Coris	aygula	Coris aygula	Wrasses
Coris	batuensis	Coris batuensis	Wrasses
Coris	gaimard	Coris gaimard	Wrasses
Cromileptes 	altivelis	Cromileptes  altivelis	Groupers
Ctenochaetus	striatus 	Ctenochaetus striatus 	Surgeonfishes
Dascyllus	trimaculatus	Dascyllus trimaculatus	Damselfishes
Dascyllus	reticulatus	Dascyllus reticulatus	Damselfishes
Dascyllus	aruanus	Dascyllus aruanus	Damselfishes
