date,group,catch_kg,year,month,year_month
01/01/19,Long tom,6.354752458,2019,Jan,01/01/19
01/01/19,Jacks/Trevally/Other Scad,417.3955406,2019,Jan,01/01/19
01/01/19,Fusilier,1.999665014,2019,Jan,01/01/19
01/01/19,Sardines/pilchards,5240.65472,2019,Jan,01/01/19
01/01/19,Flying fish,478.8499149,2019,Jan,01/01/19
01/01/19,Garfish,64.10951323,2019,Jan,01/01/19
01/01/19,Jobfish,124.0447285,2019,Jan,01/01/19
01/01/19,Moonfish,11.79001921,2019,Jan,01/01/19
01/01/19,Other,1501.078818,2019,Jan,01/01/19
01/01/19,Short bodied mackerel,1499.230863,2019,Jan,01/01/19
01/01/19,Mackerel scad,5902.967779,2019,Jan,01/01/19
01/01/19,Snapper/seaperch,1466.058556,2019,Jan,01/01/19
01/01/19,Tuna/Bonito/Other Mackerel,344.0538595,2019,Jan,01/01/19
01/02/19,Long tom,5.014764869,2019,Feb,01/02/19
01/02/19,Jacks/Trevally/Other Scad,712.0493681,2019,Feb,01/02/19
01/02/19,Fusilier,0.874117533,2019,Feb,01/02/19
01/02/19,Sardines/pilchards,4184.4005,2019,Feb,01/02/19
01/02/19,Flying fish,357.6636601,2019,Feb,01/02/19
01/02/19,Garfish,54.79864592,2019,Feb,01/02/19
01/02/19,Jobfish,133.1691466,2019,Feb,01/02/19
01/02/19,Moonfish,10.75712007,2019,Feb,01/02/19
01/02/19,Other,1187.302553,2019,Feb,01/02/19
01/02/19,Short bodied mackerel,1488.6299,2019,Feb,01/02/19
01/02/19,Mackerel scad,4516.998544,2019,Feb,01/02/19
01/02/19,Snapper/seaperch,1116.124255,2019,Feb,01/02/19
01/02/19,Tuna/Bonito/Other Mackerel,447.0777256,2019,Feb,01/02/19
01/03/19,Long tom,2.67247197,2019,Mar,01/03/19
01/03/19,Jacks/Trevally/Other Scad,415.2042226,2019,Mar,01/03/19
01/03/19,Fusilier,0.431929659,2019,Mar,01/03/19
01/03/19,Sardines/pilchards,3571.334883,2019,Mar,01/03/19
01/03/19,Flying fish,360.61071,2019,Mar,01/03/19
01/03/19,Garfish,27.4617604,2019,Mar,01/03/19
01/03/19,Jobfish,105.8922688,2019,Mar,01/03/19
01/03/19,Moonfish,16.64399104,2019,Mar,01/03/19
01/03/19,Other,1283.295693,2019,Mar,01/03/19
01/03/19,Short bodied mackerel,1889.235345,2019,Mar,01/03/19
01/03/19,Mackerel scad,6865.88465,2019,Mar,01/03/19
01/03/19,Snapper/seaperch,1427.115073,2019,Mar,01/03/19
01/03/19,Tuna/Bonito/Other Mackerel,373.8754432,2019,Mar,01/03/19
01/04/19,Long tom,3.84974447,2019,Apr,01/04/19
01/04/19,Jacks/Trevally/Other Scad,444.2407681,2019,Apr,01/04/19
01/04/19,Fusilier,0.832884631,2019,Apr,01/04/19
01/04/19,Sardines/pilchards,2251.854832,2019,Apr,01/04/19
01/04/19,Flying fish,330.1758308,2019,Apr,01/04/19
01/04/19,Garfish,42.72904669,2019,Apr,01/04/19
01/04/19,Jobfish,89.12628511,2019,Apr,01/04/19
01/04/19,Moonfish,10.85576736,2019,Apr,01/04/19
01/04/19,Other,1001.412519,2019,Apr,01/04/19
01/04/19,Short bodied mackerel,1080.707913,2019,Apr,01/04/19
01/04/19,Mackerel scad,4855.440807,2019,Apr,01/04/19
01/04/19,Snapper/seaperch,988.5052785,2019,Apr,01/04/19
01/04/19,Tuna/Bonito/Other Mackerel,296.063269,2019,Apr,01/04/19
01/05/19,Long tom,0,2019,May,01/05/19
01/05/19,Jacks/Trevally/Other Scad,31.72214927,2019,May,01/05/19
01/05/19,Fusilier,0,2019,May,01/05/19
01/05/19,Sardines/pilchards,246.1112805,2019,May,01/05/19
01/05/19,Flying fish,0,2019,May,01/05/19
01/05/19,Garfish,0,2019,May,01/05/19
01/05/19,Jobfish,0,2019,May,01/05/19
01/05/19,Moonfish,0,2019,May,01/05/19
01/05/19,Other,221.3697689,2019,May,01/05/19
01/05/19,Short bodied mackerel,0,2019,May,01/05/19
01/05/19,Mackerel scad,6039.753377,2019,May,01/05/19
01/05/19,Snapper/seaperch,90.48757715,2019,May,01/05/19
01/05/19,Tuna/Bonito/Other Mackerel,0,2019,May,01/05/19
01/06/19,Long tom,0,2019,Jun,01/06/19
01/06/19,Jacks/Trevally/Other Scad,0,2019,Jun,01/06/19
01/06/19,Fusilier,0,2019,Jun,01/06/19
01/06/19,Sardines/pilchards,1318.17436,2019,Jun,01/06/19
01/06/19,Flying fish,7.100010982,2019,Jun,01/06/19
01/06/19,Garfish,0,2019,Jun,01/06/19
01/06/19,Jobfish,96.34856408,2019,Jun,01/06/19
01/06/19,Moonfish,0,2019,Jun,01/06/19
01/06/19,Other,1153.83289,2019,Jun,01/06/19
01/06/19,Short bodied mackerel,0,2019,Jun,01/06/19
01/06/19,Mackerel scad,6990.951958,2019,Jun,01/06/19
01/06/19,Snapper/seaperch,0,2019,Jun,01/06/19
01/06/19,Tuna/Bonito/Other Mackerel,0,2019,Jun,01/06/19
01/07/19,Long tom,0,2019,Jul,01/07/19
01/07/19,Jacks/Trevally/Other Scad,191.1048789,2019,Jul,01/07/19
01/07/19,Fusilier,0,2019,Jul,01/07/19
01/07/19,Sardines/pilchards,81.21080604,2019,Jul,01/07/19
01/07/19,Flying fish,0,2019,Jul,01/07/19
01/07/19,Garfish,10.86070599,2019,Jul,01/07/19
01/07/19,Jobfish,30.86665382,2019,Jul,01/07/19
01/07/19,Moonfish,0,2019,Jul,01/07/19
01/07/19,Other,3388.916677,2019,Jul,01/07/19
01/07/19,Short bodied mackerel,0,2019,Jul,01/07/19
01/07/19,Mackerel scad,15052.27508,2019,Jul,01/07/19
01/07/19,Snapper/seaperch,4972.167698,2019,Jul,01/07/19
01/07/19,Tuna/Bonito/Other Mackerel,0,2019,Jul,01/07/19
01/08/19,Long tom,0,2019,Aug,01/08/19
01/08/19,Jacks/Trevally/Other Scad,85.03333963,2019,Aug,01/08/19
01/08/19,Fusilier,0,2019,Aug,01/08/19
01/08/19,Sardines/pilchards,200.1643527,2019,Aug,01/08/19
01/08/19,Flying fish,0,2019,Aug,01/08/19
01/08/19,Garfish,40.09751633,2019,Aug,01/08/19
01/08/19,Jobfish,362.2271028,2019,Aug,01/08/19
01/08/19,Moonfish,9.879745427,2019,Aug,01/08/19
01/08/19,Other,477.4908554,2019,Aug,01/08/19
01/08/19,Short bodied mackerel,0,2019,Aug,01/08/19
01/08/19,Mackerel scad,4450.858488,2019,Aug,01/08/19
01/08/19,Snapper/seaperch,58.14256987,2019,Aug,01/08/19
01/08/19,Tuna/Bonito/Other Mackerel,58.28646917,2019,Aug,01/08/19
01/09/19,Long tom,0,2019,Sep,01/09/19
01/09/19,Jacks/Trevally/Other Scad,239.5100627,2019,Sep,01/09/19
01/09/19,Fusilier,0,2019,Sep,01/09/19
01/09/19,Sardines/pilchards,342.8209028,2019,Sep,01/09/19
01/09/19,Flying fish,0,2019,Sep,01/09/19
01/09/19,Garfish,69.96318228,2019,Sep,01/09/19
01/09/19,Jobfish,446.9132497,2019,Sep,01/09/19
01/09/19,Moonfish,0,2019,Sep,01/09/19
01/09/19,Other,724.3914869,2019,Sep,01/09/19
01/09/19,Short bodied mackerel,4.474803271,2019,Sep,01/09/19
01/09/19,Mackerel scad,6444.143168,2019,Sep,01/09/19
01/09/19,Snapper/seaperch,500.5691317,2019,Sep,01/09/19
01/09/19,Tuna/Bonito/Other Mackerel,41.55199477,2019,Sep,01/09/19
01/10/19,Long tom,0,2019,Oct,01/10/19
01/10/19,Jacks/Trevally/Other Scad,161.3789863,2019,Oct,01/10/19
01/10/19,Fusilier,0,2019,Oct,01/10/19
01/10/19,Sardines/pilchards,4614.970338,2019,Oct,01/10/19
01/10/19,Flying fish,0,2019,Oct,01/10/19
01/10/19,Garfish,22.56700797,2019,Oct,01/10/19
01/10/19,Jobfish,385.5827251,2019,Oct,01/10/19
01/10/19,Moonfish,0,2019,Oct,01/10/19
01/10/19,Other,2435.685326,2019,Oct,01/10/19
01/10/19,Short bodied mackerel,11.6968343,2019,Oct,01/10/19
01/10/19,Mackerel scad,16946.43235,2019,Oct,01/10/19
01/10/19,Snapper/seaperch,1098.024571,2019,Oct,01/10/19
01/10/19,Tuna/Bonito/Other Mackerel,3824.865923,2019,Oct,01/10/19
01/11/19,Long tom,0,2019,Nov,01/11/19
01/11/19,Jacks/Trevally/Other Scad,222.4833844,2019,Nov,01/11/19
01/11/19,Fusilier,0,2019,Nov,01/11/19
01/11/19,Sardines/pilchards,5301.703577,2019,Nov,01/11/19
01/11/19,Flying fish,0,2019,Nov,01/11/19
01/11/19,Garfish,0,2019,Nov,01/11/19
01/11/19,Jobfish,129.8836411,2019,Nov,01/11/19
01/11/19,Moonfish,50.6731042,2019,Nov,01/11/19
01/11/19,Other,5640.262483,2019,Nov,01/11/19
01/11/19,Short bodied mackerel,0,2019,Nov,01/11/19
01/11/19,Mackerel scad,6470.379347,2019,Nov,01/11/19
01/11/19,Snapper/seaperch,3263.322078,2019,Nov,01/11/19
01/11/19,Tuna/Bonito/Other Mackerel,433.1123001,2019,Nov,01/11/19
01/12/19,Long tom,0,2019,Dec,01/12/19
01/12/19,Jacks/Trevally/Other Scad,369.9616733,2019,Dec,01/12/19
01/12/19,Fusilier,0,2019,Dec,01/12/19
01/12/19,Sardines/pilchards,6322.920618,2019,Dec,01/12/19
01/12/19,Flying fish,105.5527945,2019,Dec,01/12/19
01/12/19,Garfish,0,2019,Dec,01/12/19
01/12/19,Jobfish,0,2019,Dec,01/12/19
01/12/19,Moonfish,101.6820123,2019,Dec,01/12/19
01/12/19,Other,1824.677754,2019,Dec,01/12/19
01/12/19,Short bodied mackerel,0,2019,Dec,01/12/19
01/12/19,Mackerel scad,4370.65238,2019,Dec,01/12/19
01/12/19,Snapper/seaperch,1764.385113,2019,Dec,01/12/19
01/12/19,Tuna/Bonito/Other Mackerel,1055.259477,2019,Dec,01/12/19
01/01/20,Long tom,0,2020,Jan,01/01/20
01/01/20,Jacks/Trevally/Other Scad,233.8440095,2020,Jan,01/01/20
01/01/20,Fusilier,0,2020,Jan,01/01/20
01/01/20,Sardines/pilchards,6123.255886,2020,Jan,01/01/20
01/01/20,Flying fish,85.32764095,2020,Jan,01/01/20
01/01/20,Garfish,0,2020,Jan,01/01/20
01/01/20,Jobfish,10.53142845,2020,Jan,01/01/20
01/01/20,Moonfish,0,2020,Jan,01/01/20
01/01/20,Other,1605.671002,2020,Jan,01/01/20
01/01/20,Short bodied mackerel,2.280599628,2020,Jan,01/01/20
01/01/20,Mackerel scad,5183.718874,2020,Jan,01/01/20
01/01/20,Snapper/seaperch,539.4967905,2020,Jan,01/01/20
01/01/20,Tuna/Bonito/Other Mackerel,689.3227772,2020,Jan,01/01/20
01/02/20,Long tom,0,2020,Feb,01/02/20
01/02/20,Jacks/Trevally/Other Scad,323.9023797,2020,Feb,01/02/20
01/02/20,Fusilier,0,2020,Feb,01/02/20
01/02/20,Sardines/pilchards,7719.953151,2020,Feb,01/02/20
01/02/20,Flying fish,273.1651322,2020,Feb,01/02/20
01/02/20,Garfish,21.08790422,2020,Feb,01/02/20
01/02/20,Jobfish,39.24174559,2020,Feb,01/02/20
01/02/20,Moonfish,0,2020,Feb,01/02/20
01/02/20,Other,1223.768142,2020,Feb,01/02/20
01/02/20,Short bodied mackerel,0,2020,Feb,01/02/20
01/02/20,Mackerel scad,5535.458308,2020,Feb,01/02/20
01/02/20,Snapper/seaperch,2521.571574,2020,Feb,01/02/20
01/02/20,Tuna/Bonito/Other Mackerel,801.5130001,2020,Feb,01/02/20
01/03/20,Long tom,181.7328473,2020,Mar,01/03/20
01/03/20,Jacks/Trevally/Other Scad,0,2020,Mar,01/03/20
01/03/20,Fusilier,0,2020,Mar,01/03/20
01/03/20,Sardines/pilchards,2129.224134,2020,Mar,01/03/20
01/03/20,Flying fish,241.0253064,2020,Mar,01/03/20
01/03/20,Garfish,0,2020,Mar,01/03/20
01/03/20,Jobfish,93.3334278,2020,Mar,01/03/20
01/03/20,Moonfish,0,2020,Mar,01/03/20
01/03/20,Other,2007.669346,2020,Mar,01/03/20
01/03/20,Short bodied mackerel,0,2020,Mar,01/03/20
01/03/20,Mackerel scad,9527.8846,2020,Mar,01/03/20
01/03/20,Snapper/seaperch,1888.691527,2020,Mar,01/03/20
